"Date" "Open" "High" "Low" "Close" "Volume" "Market Cap" "symbol"
"Nov 12, 2017" 10044.1 10678.9 9221.42 9713.02 "1212" "421,854" "42_bit"
"Nov 11, 2017" 10522.8 14543 9723.58 10047.3 "2781" "441,956" "42_bit"
"Nov 10, 2017" 11716.1 11890.9 10160.8 10563 "716" "492,075" "42_bit"
"Nov 09, 2017" 12031.8 12031.8 10380.7 11612 "1277" "505,337" "42_bit"
"Nov 08, 2017" 12340.6 13404.7 10560.6 12044.1 "2162" "518,303" "42_bit"
"Nov 07, 2017" 11750.1 12376.6 11395.5 12376.6 "1475" "493,503" "42_bit"
"Nov 06, 2017" 11590.3 11832.1 9571.19 11768.7 "1540" "486,792" "42_bit"
"Nov 05, 2017" 11760.1 12805.5 10389.2 11565.6 "1528" "493,924" "42_bit"
"Nov 04, 2017" 11955.3 12621.7 11311.3 11783 "1732" "502,123" "42_bit"
"Nov 03, 2017" 12629.1 12814.7 11753.8 11985.9 "1671" "530,421" "42_bit"
"Nov 02, 2017" 11579.2 12713 11491.7 12637.6 "1445" "486,327" "42_bit"
"Nov 01, 2017" 11667.4 11694 10902.2 11571.8 "2691" "490,032" "42_bit"
"Oct 31, 2017" 10923.4 11801.6 10514.9 11676.1 "4831" "458,782" "42_bit"
"Oct 30, 2017" 11519.7 11572 10562.8 10960.6 "1514" "483,828" "42_bit"
"Oct 29, 2017" 11261.6 11665.4 9737.75 11613 "915" "472,986" "42_bit"
"Oct 28, 2017" 10313.5 11320 10251.6 11277 "91" "433,166" "42_bit"
"Oct 27, 2017" 11276.3 11496.6 10284.4 10294.4 "657" "473,604" "42_bit"
"Oct 26, 2017" 10512.2 12591.7 10009.4 11274.9 "9757" "441,514" "42_bit"
"Oct 25, 2017" 10168.7 11482.7 9697.87 10514.4 "490" "427,084" "42_bit"
"Oct 24, 2017" 11379.5 12289.7 9520.12 9578.45 "675" "477,939" "42_bit"
"Oct 23, 2017" 10547.8 11682.1 9841.19 11404.2 "12008" "443,009" "42_bit"
"Oct 22, 2017" 11194.1 11797.7 10411.4 10560.2 "914" "470,153" "42_bit"
"Oct 21, 2017" 11481.2 11814.9 10423.3 11192 "1063" "482,209" "42_bit"
"Oct 20, 2017" 10580.8 13073.3 10006.7 11486.4 "2656" "444,392" "42_bit"
"Oct 19, 2017" 11119.2 12994.6 9666.16 10578.6 "5800" "467,006" "42_bit"
"Oct 18, 2017" 9777.25 15723.1 8624.31 11113.9 "10142" "410,644" "42_bit"
"Oct 17, 2017" 10871.3 11015.8 9716.39 9778.59 "1810" "456,595" "42_bit"
"Oct 16, 2017" 10156.2 10937.8 10156.2 10870.3 "177" "426,559" "42_bit"
"Oct 15, 2017" 11178.7 11351.4 10055.3 10154.8 "581" "469,505" "42_bit"
"Oct 14, 2017" 10335.2 11255.7 9801.24 11161.4 "1277" "434,076" "42_bit"
"Oct 13, 2017" 14658.9 14783.4 9700.66 10327.3 "6371" "615,674" "42_bit"
"Oct 12, 2017" 9382.03 14570.5 9210.2 14544.3 "1395" "394,045" "42_bit"
"Oct 11, 2017" 14639.7 14769.7 9362.36 9374.33 "2798" "614,867" "42_bit"
"Oct 10, 2017" 8700.86 19094.7 8700.86 14641.9 "7972" "365,436" "42_bit"
"Oct 09, 2017" 9442.36 10744.9 7481.59 8695.54 "11242" "396,579" "42_bit"
"Oct 08, 2017" 7976.65 9926.01 7340.63 9439.96 "5071" "335,019" "42_bit"
"Oct 07, 2017" 7873.01 9102.5 7285.49 7996.08 "5020" "330,666" "42_bit"
"Oct 06, 2017" 8589.14 9094.05 7064.67 7870.47 "5376" "360,744" "42_bit"
"Oct 05, 2017" 8169.16 8661.95 6144.16 8589.19 "4434" "343,105" "42_bit"
"Oct 04, 2017" 8796.5 8818.01 5551.71 8161.92 "3907" "369,453" "42_bit"
"Oct 03, 2017" 8540.07 8980.52 7937.62 8776.33 "571" "358,683" "42_bit"
"Oct 02, 2017" 8944.86 9022.68 8420.69 8539.46 "648" "375,684" "42_bit"
"Oct 01, 2017" 9234.3 9254.41 8681.26 8947.84 "891" "387,841" "42_bit"
"Sep 30, 2017" 8693.94 9466.9 8401.44 9229.37 "527" "365,146" "42_bit"
"Sep 29, 2017" 10507.1 10575.8 8235.01 8692.46 "423" "441,299" "42_bit"
"Sep 28, 2017" 8254.71 10606.2 7529.73 10480.1 "16267" "346,698" "42_bit"
"Sep 27, 2017" 7736.62 10397.7 7169.52 9240.89 "11024" "324,938" "42_bit"
"Sep 26, 2017" 8279.23 8759.4 7132.48 7757.94 "2119" "347,728" "42_bit"
"Sep 25, 2017" 7330.92 8623.02 6318.01 8280.04 "4391" "307,899" "42_bit"
"Sep 24, 2017" 7621.27 7795.19 6966.15 7338.14 "811" "320,093" "42_bit"
"Sep 23, 2017" 7533.73 8154.61 6977.63 7621.88 "2179" "316,417" "42_bit"
"Sep 22, 2017" 7592.13 8080.78 6623.49 7554.57 "8861" "318,869" "42_bit"
"Sep 21, 2017" 6466.03 8966.67 6283.83 7601.58 "4483" "271,573" "42_bit"
"Sep 20, 2017" 7374.35 7378.87 6096.37 6497.38 "2559" "309,723" "42_bit"
"Sep 19, 2017" 9646.06 9775.88 7380.79 7380.79 "2253" "405,135" "42_bit"
"Sep 18, 2017" 8445.23 9678.88 6223.36 9641.15 "683" "354,700" "42_bit"
"Sep 17, 2017" 6923.42 8496.12 6356.91 8447.05 "1068" "290,784" "42_bit"
"Sep 16, 2017" 8934.23 9244.73 6622.51 6927.36 "594" "375,238" "42_bit"
"Sep 15, 2017" 5710.11 8946.15 5137.57 8946.15 "1611" "239,825" "42_bit"
"Sep 14, 2017" 7968.48 8334.62 5668.79 5668.79 "4618" "334,676" "42_bit"
"Sep 13, 2017" 8746.18 10502.6 6484.68 7968.83 "119" "367,340" "42_bit"
"Sep 12, 2017" 8405.47 9493.82 6282.34 8774.01 "2754" "353,030" "42_bit"
"Sep 11, 2017" 9395.65 10227.1 8233.76 8397.7 "432" "394,617" "42_bit"
"Sep 10, 2017" 6986.29 9323.03 6209.13 9272.56 "2134" "293,424" "42_bit"
"Sep 09, 2017" 8625.26 8774.23 7455.66 8429.68 "580" "362,261" "42_bit"
"Sep 08, 2017" 9269.11 9378.68 7434.63 8608.95 "579" "389,302" "42_bit"
"Sep 07, 2017" 9021.49 9361.72 8725.37 9267.26 "676" "378,903" "42_bit"
"Sep 06, 2017" 7690.68 9285.28 7628.78 9040.03 "2129" "323,009" "42_bit"
"Sep 05, 2017" 7807.89 9327.13 7355.1 7722.07 "469" "327,931" "42_bit"
"Sep 04, 2017" 9656.5 9662.76 7409.25 7771.73 "410" "405,573" "42_bit"
"Sep 03, 2017" 9633.63 9698.42 9007.27 9652.63 "556" "404,612" "42_bit"
"Sep 02, 2017" 8729.35 9629.01 8113.38 9629.01 "328" "366,633" "42_bit"
"Sep 01, 2017" 9382.42 9739.09 8538.08 8717.16 "1507" "394,062" "42_bit"
"Aug 31, 2017" 8094.09 10467.6 8092.7 9381.66 "772" "339,952" "42_bit"
"Aug 30, 2017" 10457.7 10553.8 7993.35 8108.16 "4799" "439,222" "42_bit"
"Aug 29, 2017" 9254.76 12036.5 8455.64 10471.6 "1723" "388,700" "42_bit"
"Aug 28, 2017" 10099 11091.3 7900.9 9237.42 "1562" "424,157" "42_bit"
"Aug 27, 2017" 10379.6 10858.9 9324.05 10109.4 "230" "435,944" "42_bit"
"Aug 26, 2017" 11057.4 11702.2 9484.14 10382 "107" "464,410" "42_bit"
"Aug 25, 2017" 12048.5 12758.2 8622.54 11054.1 "7709" "506,037" "42_bit"
"Aug 24, 2017" 10872.6 15712.3 10760.6 12067.5 "7431" "456,650" "42_bit"
"Aug 23, 2017" 7526.8 12033.8 7505.5 10863.1 "3937" "316,126" "42_bit"
"Aug 22, 2017" 8304.33 8304.33 7321.81 7540.47 "497" "348,782" "42_bit"
"Aug 21, 2017" 8089.11 8535.26 7590.11 8278.6 "790" "339,742" "42_bit"
"Aug 20, 2017" 8257.2 9306.6 7036.27 8120.27 "4756" "346,802" "42_bit"
"Aug 19, 2017" 8129.72 8848.52 7168.94 8294.28 "600" "341,448" "42_bit"
"Aug 18, 2017" 7758.48 8212.63 7206.22 8095.54 "1894" "325,856" "42_bit"
"Aug 17, 2017" 7195.42 9095.53 6315.43 7778.62 "1468" "302,208" "42_bit"
"Aug 16, 2017" 9615.55 10733.8 7150.51 7202.07 "1515" "403,853" "42_bit"
"Aug 15, 2017" 8638.27 10973.4 8638.27 9609.4 "1223" "362,807" "42_bit"
"Aug 14, 2017" 9145.87 11013.1 8429.71 8616.14 "1543" "384,127" "42_bit"
"Aug 13, 2017" 10626.4 11339.1 8641.88 9140.33 "1058" "446,310" "42_bit"
"Aug 12, 2017" 9280.06 11886.5 9102.21 10636.5 "5887" "389,763" "42_bit"
"Aug 11, 2017" 10288.9 10354.4 8861.83 9287.29 "590" "432,132" "42_bit"
"Aug 10, 2017" 9693.22 10364.8 8680.6 10289.5 "1986" "407,115" "42_bit"
"Aug 09, 2017" 9716.83 10031 9335.44 9692.3 "4692" "408,107" "42_bit"
"Aug 08, 2017" 8146.49 9870.53 7522.78 9722.48 "1043" "342,153" "42_bit"
"Aug 07, 2017" 10010 10055.2 7131.6 8139.2 "946" "420,420" "42_bit"
"Aug 06, 2017" 9659.93 10150.2 9024.23 10032.3 "1096" "405,717" "42_bit"
"Aug 05, 2017" 8666.48 9878.33 8314.49 9656.96 "351" "363,992" "42_bit"
"Aug 04, 2017" 8324.28 9398.92 7672.98 8670.32 "1419" "349,620" "42_bit"
"Aug 03, 2017" 8863.63 9789.06 8308.65 8325.77 "1066" "372,272" "42_bit"
"Aug 02, 2017" 8210.04 9226.58 7488.65 8848.25 "882" "344,822" "42_bit"
"Aug 01, 2017" 9370.48 9370.48 7653.94 8209.49 "1110" "393,560" "42_bit"
"Jul 31, 2017" 9291.9 9362.19 8085.81 9343.39 "656" "390,260" "42_bit"
"Jul 30, 2017" 8297.8 9366.53 8075.08 9284.97 "249" "348,507" "42_bit"
"Jul 29, 2017" 9255.32 9276.58 8114.42 8299 "134" "388,723" "42_bit"
"Jul 28, 2017" 9336.83 9715.81 8488.28 9286.02 "649" "392,147" "42_bit"
"Jul 27, 2017" 8183.9 9496.54 8153.53 9311.73 "434" "343,724" "42_bit"
"Jul 26, 2017" 8152.11 8758.56 8031.8 8161.38 "467" "342,388" "42_bit"
"Jul 25, 2017" 9884.09 9965.19 7409.5 8138.56 "3982" "415,132" "42_bit"
"Jul 24, 2017" 11713.8 11742.9 8594.36 9928.22 "1762" "491,980" "42_bit"
"Jul 23, 2017" 10146.2 12506.7 9664.81 11723.2 "676" "426,141" "42_bit"
"Jul 22, 2017" 10706.4 12421.9 9390.42 10148.5 "686" "449,670" "42_bit"
"Jul 21, 2017" 17399 17673.8 9142.88 10706.3 "1600" "730,759" "42_bit"
"Jul 20, 2017" 10795 18714.3 8253.92 17343.3 "4069" "453,390" "42_bit"
"Jul 19, 2017" 8859.94 10826.4 8677.65 10826.4 "1839" "372,118" "42_bit"
"Jul 18, 2017" 7931.65 9871.4 7684.57 8846.78 "3268" "333,129" "42_bit"
"Jul 17, 2017" 6262.29 7963.39 6140.27 7912.33 "2271" "263,016" "42_bit"
"Jul 16, 2017" 7453.2 7499.87 5270.56 6270.66 "2070" "313,034" "42_bit"
"Jul 15, 2017" 8287 8297.59 7076.03 7488.3 "1425" "348,054" "42_bit"
"Jul 14, 2017" 8766.84 8916.81 7366.97 8291.69 "1600" "368,207" "42_bit"
"Jul 13, 2017" 9087.35 9193.83 8341.06 8773.05 "883" "381,669" "42_bit"
"Jul 12, 2017" 8885 9199.15 8084.27 9073.94 "4794" "373,170" "42_bit"
"Jul 11, 2017" 9382.73 9496.37 8850.05 8930.02 "639" "394,074" "42_bit"
"Jul 10, 2017" 10657 10688.7 8847.02 8999.56 "3525" "447,592" "42_bit"
"Jul 09, 2017" 11247.7 11445.5 9978.72 10636.3 "3711" "472,404" "42_bit"
"Jul 08, 2017" 11033.5 12144.6 10304.9 11241.2 "2045" "463,407" "42_bit"
"Jul 07, 2017" 9135.63 11048 9135.63 11025 "5419" "383,696" "42_bit"
"Jul 06, 2017" 9006.53 10931.8 8445.38 9135.35 "1703" "378,274" "42_bit"
"Jul 05, 2017" 11019.3 11058 9004.34 9004.34 "435" "462,811" "42_bit"
"Jul 04, 2017" 10018 11036.1 8805.1 11010.8 "1775" "420,754" "42_bit"
"Jul 03, 2017" 8527.48 10645 8426.53 10047.6 "1343" "358,154" "42_bit"
"Jul 02, 2017" 7952.36 8592.53 7892.39 8557.88 "2771" "333,999" "42_bit"
"Jul 01, 2017" 9183.86 9234.26 7885.14 7953.31 "1621" "385,722" "42_bit"
"Jun 30, 2017" 10406.5 10447.5 5371.46 9187.34 "6289" "437,072" "42_bit"
"Jun 29, 2017" 9827.01 11941.6 9772.77 10388.8 "2763" "412,734" "42_bit"
"Jun 28, 2017" 9950.45 11616.3 9508.4 9836.14 "2605" "417,919" "42_bit"
"Jun 27, 2017" 10371.8 10701.4 9142.31 9902.35 "1094" "435,614" "42_bit"
"Jun 26, 2017" 12674 12843.7 9545.91 10371.8 "1514" "532,308" "42_bit"
"Jun 25, 2017" 11582.7 13425.3 11533.5 12690.6 "471" "486,475" "42_bit"
"Jun 24, 2017" 19882.1 20216 12050.3 13493.4 "3073" "835,047" "42_bit"
"Jun 23, 2017" 11826.9 19957.7 11796.5 19893 "1552" "496,731" "42_bit"
"Jun 22, 2017" 15801.2 16295.2 10523.7 11826.9 "2213" "663,651" "42_bit"
"Jun 21, 2017" 14605.6 16803.9 12727.2 15801.4 "3766" "613,435" "42_bit"
"Jun 20, 2017" 16433 20856.1 14584.1 14605.5 "2090" "690,186" "42_bit"
"Jun 19, 2017" 19180.2 19943.8 13691.4 16434.4 "4934" "805,568" "42_bit"
"Jun 18, 2017" 19034.6 19178.9 18022.7 19178.9 "3815" "799,453" "42_bit"
"Jun 17, 2017" 18753.4 19045.5 16454.4 19034.9 "4984" "787,643" "42_bit"
"Jun 16, 2017" 16071.8 19848.6 15533.9 18753.4 "12294" "675,016" "42_bit"
"Jun 15, 2017" 12895.2 19168.2 12734.5 16080.8 "10665" "541,598" "42_bit"
"Jun 14, 2017" 18072.9 21928.7 12765.1 12895.8 "16972" "759,062" "42_bit"
"Jun 13, 2017" 9277.79 80444.4 5716.11 18081.5 "63411" "389,667" "42_bit"
"Jun 12, 2017" 7915.99 9394.6 5692.8 9309.73 "3302" "332,472" "42_bit"
"Jun 11, 2017" 6907.03 7930.89 6221.34 7924.6 "2446" "290,095" "42_bit"
"Jun 10, 2017" 6049.91 7155.8 5097.78 6908.84 "2803" "254,096" "42_bit"
"Jun 09, 2017" 7750.17 8204.01 5623.17 6043.65 "3059" "325,507" "42_bit"
"Jun 08, 2017" 7225.26 8103.69 7034.8 7762.34 "1877" "303,461" "42_bit"
"Jun 07, 2017" 7849.44 8130.86 7010.84 7190.08 "860" "329,676" "42_bit"
"Jun 06, 2017" 14761.7 17422 6700.64 7846.82 "2361" "619,991" "42_bit"
"Jun 05, 2017" 5685.41 14756.8 5515.47 14756.8 "1306" "238,787" "42_bit"
"Jun 04, 2017" 5233.55 6246.7 5146.6 5671.42 "210" "219,809" "42_bit"
"Jun 03, 2017" 4726.88 6316.8 4637.36 5246.59 "1534" "198,529" "42_bit"
"Jun 02, 2017" 4331.78 4728.84 4275.45 4728.84 "175" "181,935" "42_bit"
"Jun 01, 2017" 3779.36 5193.31 3779.36 4329.77 "687" "158,733" "42_bit"
"May 31, 2017" 3824.71 4589.31 3748.17 3776.11 "1340" "160,638" "42_bit"
"May 30, 2017" 3542.66 3887.13 3457.9 3808.87 "539" "148,792" "42_bit"
"May 29, 2017" 3520.94 4364.94 3365.11 3538.54 "842" "147,879" "42_bit"
"May 28, 2017" 3248.31 3650.87 3248.31 3526.18 "109" "136,429" "42_bit"
"May 27, 2017" 3626.24 3729.67 2958.03 3229.47 "252" "152,302" "42_bit"
"May 26, 2017" 3046.21 4022.59 3046.21 3615.78 "1139" "127,941" "42_bit"
"May 25, 2017" 3774.12 4276.71 2576.23 3068.76 "4941" "158,513" "42_bit"
"May 24, 2017" 2912.14 4217.01 2424.94 3782.19 "10688" "122,310" "42_bit"
"May 23, 2017" 2764.81 3148.93 2132.27 2908.63 "5188" "116,122" "42_bit"
"May 22, 2017" 2100.66 2989.14 2073.18 2768.48 "4416" "88,228" "42_bit"
"May 21, 2017" 1983.49 2173.42 1967.78 2093.63 "3232" "83,307" "42_bit"
"May 20, 2017" 1874.89 2105.41 1873.26 1984.25 "6930" "78,745" "42_bit"
"May 19, 2017" 1602.8 1942.73 1602.8 1876.92 "11623" "67,318" "42_bit"
"May 18, 2017" 1273.77 1638.29 1270.51 1601.88 "11357" "53,498" "42_bit"
"May 17, 2017" 1212.74 1317.98 1199.98 1274.45 "10696" "50,935" "42_bit"
"May 16, 2017" 1240.32 1241.2 1195.16 1213.06 "7022" "52,093" "42_bit"
"May 15, 2017" 1341.39 1343.44 1200.71 1242.16 "8713" "56,338" "42_bit"
"May 14, 2017" 1324.6 1347.65 1294.42 1340.6 "7958" "55,633" "42_bit"
"May 13, 2017" 1245.47 1320.41 1187.1 1320.38 "11043" "52,310" "42_bit"
"May 12, 2017" 1338.39 1364.55 1201.93 1248.01 "6678" "56,212" "42_bit"
"May 11, 2017" 1427.18 1510.88 1285.95 1396.39 "11396" "59,942" "42_bit"
"May 10, 2017" 1375.34 1468.71 1375.34 1424.62 "7658" "57,764" "42_bit"
"May 09, 2017" 1323.59 1419.05 1278.17 1374.68 "8902" "55,591" "42_bit"
"May 08, 2017" 1360.86 1363.94 1240.03 1323.35 "11272" "57,156" "42_bit"
"May 07, 2017" 1416.19 1437.95 1276.8 1360.84 "3515" "59,480" "42_bit"
